test,comparison,exit_code,seconds,instructions,max_rss_bytes,reference_seconds
bogus1,match,1,0.017012721,56341502,13508608,0.152908
cedar,declared_decline,2,0,0,0,
con-leche,declared_decline,2,0,0,0,
constlevels,match,1,0.020855971,69995738,13570048,0.05198
corner-cases/alg-conv-trans-acc,match,1,0.059234864000000005,326579449,13533184,0.138636
corner-cases/alg-conv-trans-acc-left,match,0,0.051231982,326051816,13541376,0.067143
corner-cases/alg-conv-trans-acc-right,match,0,0.05696211,338327067,13520896,0.064376
corner-cases/alg-conv-trans-quot,match,1,0.013461936,50933932,13631488,0.13417
corner-cases/alg-conv-trans-quot-left,match,1,0.013646651000000001,52124152,13529088,0.106392
corner-cases/alg-conv-trans-quot-left-def,match,0,0.013881671000000002,58632700,13553664,0.047221
corner-cases/alg-conv-trans-quot-right,match,0,0.012425684000000001,52790783,13619200,0.054247
corner-cases/imax-right-successor,match,1,0.0085126,21373610,12771328,0.098212
corner-cases/positivity-whnf,match,1,0.010286350000000001,30838218,13557760,0.052256
corner-cases/proj-maybe-prop,match,1,0.012851868,42656686,13570048,0.061699
corner-cases/proj-maybe-prop-past,match,1,0.011242582000000001,42707913,13557760,0.053063
corner-cases/proof-param-ok,match,0,0.008904733,28669440,13553664,0.055049
corner-cases/proof-param-swap,match,1,0.011680315,26973922,13488128,0.051711
corner-cases/subject-reduction-redex,match,0,0.053359138,339739255,13533184,0.056069
corner-cases/subject-reduction-reduct,match,1,0.054362561000000004,325778928,13557760,0.054028
cslib,declared_decline,2,0,0,0,
ctor-num-fields,match,1,0.021721931,133511633,13467648,0.129537
extra-rec,match,1,0.009731474,22824773,12689408,0.047606
init-prelude,match,0,2.603786581,19643885171,19795968,0.432642
k-rec-conv,match,1,0.017809476,64374666,13561856,0.110021
large-elim-param,match,1,0.013381346,33610261,13557760,0.051306
large-elim-prop-bool,match,1,0.020294936,88511917,12697600,0.048645
level-imax-leq,match,1,0.014054408000000001,31801915,13545472,0.101337
level-imax-normalization,match,1,0.010664142000000001,32034046,13635584,0.103075
level-index-out-of-order,match,0,0.00939305,20199500,12771328,0.06245
nat-rec-k-lie,match,1,0.01344439,36276484,13553664,0.121872
nat-rec-rules,match,1,0.012589938,38513324,13582336,0.05381
nested-nonuniform-param,match,0,0.014189779000000001,50025986,13545472,0.046861
nested-unused-param,match,1,0.067036182,257973168,13496320,0.054205
orphan-ctor,match,1,0.007870804,22799429,12849152,0.052096
orphan-rec,match,1,0.008403627,22751717,12750848,0.049432
perf/app-lam,match,0,154.276237462,623656003319,3254112256,14.091009
perf/args-before-unfold,match,0,0.108125573,717739758,21446656,0.055069
perf/beta-ladder,match,0,34.779942244000004,185830003550,828309504,4.578791
perf/church-numerals,match,0,0.44566817900000005,2653171545,117264384,0.221675
perf/discarded-argument,match,0,2.851399459,22582084023,15872000,0.916718
perf/discarded-argument-match,match,0,8.290633602,65805760786,17551360,7.417337
perf/folded-constant-first,match,0,0.157491753,1110998831,28577792,0.176405
perf/folded-constant-last,match,0,0.162971412,1109746325,28454912,0.106548
perf/fueled-chain,match,0,0.75560647,5248374361,19058688,0.190114
perf/grind-ring-5,match,0,29.207571469,203004797086,199356416,4.995275
perf/identical-nesting,match,0,0.011525599000000001,45598936,13557760,0.058042
perf/irrelevance-before-evaluation,match,0,0.015617654000000002,72797749,14364672,0.063159
perf/let-ladder,match,0,17.832700376000002,102667414688,434585600,1.944738
perf/magma-list-deep-n21,match,0,34.566296917,226636721601,379772928,7.331602
perf/magma-list-deep-n36,match,0,509.177283621,3001422237770,5871734784,103.711459
perf/magma-list-pair-n21,match,0,355.54772755600004,1850238945442,5492600832,46.433217
perf/magma-list-pair-n7,match,0,27.899967046,157717355409,555708416,3.082257
perf/magma-string-n4,match,0,42.899842643,293248123018,85381120,6.622355
perf/magma-string-pair-n9,match,0,109.205340049,689229567646,751611904,15.781085
perf/refute-cheap-first,match,1,0.041410952,84905966,14299136,0.107911
perf/refute-cheap-last,match,1,3.1207860390000004,23126129232,15912960,0.908299
perf/repeated-subproblem,match,0,0.01777669,70884166,13516800,0.056813
perf/shared-subterm,match,0,0.38679816,2725793359,31686656,0.119966
perf/shift-cascade,match,0,0.119459332,869242028,16736256,0.078181
perf/unroll-versus-evaluate,match,0,0.049648776000000006,163028460,17473536,0.079994
proj-non-structure,match,1,0.008884162000000001,31579848,13533184,0.047057
proj-of-imax-prop,match,1,0.014177381000000001,69895195,13582336,0.043406
proj-of-prop,match,1,0.009990298,29169830,13557760,0.052796
proj-of-stuck-prop,match,1,0.182021596,1319052654,14409728,0.080016
proj-of-subst-prop,match,1,0.18238194300000002,1330724594,12754944,0.072327
proof-irrel,match,0,0.008887647,24529356,13529088,0.047143
rec-k-lie,match,1,0.011470853000000001,33327839,13508608,0.095808
rec-missing-ih,match,1,0.179831768,1352413827,13496320,0.074744
rec-of-subst-prop,match,1,0.193719166,1407812506,14422016,0.256048
sparse-name-index,match,0,0.006030926000000001,20080540,12783616,0.043633
std,declared_decline,2,0,0,0,
tutorial/001_basicDef,match,0,0.009113694,20580227,12828672,0.069262
tutorial/002_badDef,match,1,0.008099344,20669726,12722176,0.093857
tutorial/003_arrowType,match,0,0.011468208,21189819,11997184,0.046467
tutorial/004_dependentType,match,0,0.008571708,20640351,12771328,0.044274
tutorial/005_constType,match,0,0.010708578,21660291,12730368,0.049056
tutorial/006_betaReduction,match,0,0.013233335,22878520,12726272,0.047042
tutorial/007_betaReduction2,match,0,0.006612822000000001,23258685,13615104,0.045043
tutorial/008_forallSortWhnf,match,0,0.01175119,22857267,11948032,0.040899
tutorial/009_forallSortBad,match,1,0.010682749,23104734,12849152,0.046468
tutorial/010_nonTypeType,match,1,0.011153219,22101371,12771328,0.046761
tutorial/011_nonTypeAxiom,match,1,0.011237725,22309309,12709888,0.077577
tutorial/012_nonPropThm,match,1,0.014043511000000002,20146663,12705792,0.071727
tutorial/013_thmProof,match,0,0.008744284,23392389,12828672,0.05058
tutorial/014_selfProof,match,1,0.009183898000000001,20602560,12816384,0.049622
tutorial/015_levelComp1,match,0,0.008066115,20371739,12767232,0.047313
tutorial/016_levelComp2,match,0,0.007964043,20538694,12849152,0.043824
tutorial/017_levelComp3,match,0,0.010356103,20538835,12001280,0.047992
tutorial/018_levelParams,match,0,0.02479278,23571853,12836864,0.044853
