test,comparison,exit_code,seconds,instructions,max_rss_bytes,reference_seconds
bogus1,match,1,0.021195853,54506085,13537280,0.154219
cedar,not_run,,,,,
con-leche,not_run,,,,,
constlevels,match,1,0.01719249,70923811,13586432,0.052412
corner-cases/alg-conv-trans-acc,match,1,0.052531977,327280294,13557760,0.116871
corner-cases/alg-conv-trans-acc-left,match,0,0.054413429000000006,328966263,13586432,0.054161
corner-cases/alg-conv-trans-acc-right,match,0,0.08906201100000001,342004623,13574144,0.053328
corner-cases/alg-conv-trans-quot,match,1,0.015570232000000002,51567368,13606912,0.100594
corner-cases/alg-conv-trans-quot-left,match,1,0.012593113000000001,52000942,13537280,0.107723
corner-cases/alg-conv-trans-quot-left-def,match,0,0.023562315,58659632,13594624,0.045685
corner-cases/alg-conv-trans-quot-right,match,0,0.028136225,53700821,13549568,0.047269
corner-cases/imax-right-successor,match,1,0.019313518000000002,22120852,12713984,0.097429
corner-cases/positivity-whnf,match,1,0.011266914000000001,31046911,13574144,0.045438
corner-cases/proj-maybe-prop,match,1,0.018097694,43010445,13586432,0.054823
corner-cases/proj-maybe-prop-past,match,1,0.017843686,43285358,13488128,0.047342
corner-cases/proof-param-ok,match,0,0.01286073,29055981,13475840,0.043446
corner-cases/proof-param-swap,match,1,0.012533244,27119819,13524992,0.042739
corner-cases/subject-reduction-redex,match,0,0.056662578000000005,341980609,13598720,0.057601
corner-cases/subject-reduction-reduct,match,1,0.055300327,327572254,13590528,0.055586
cslib,not_run,,,,,
ctor-num-fields,match,1,0.030037827000000003,134690353,13471744,0.107589
extra-rec,match,1,0.011371158000000001,22824823,13574144,0.042503
init,match,0,728.41497328,4939477247833,516108288,58.096284862
init-prelude,match,0,2.7742188320000003,19802761649,20611072,0.43252
k-rec-conv,match,1,0.014055244000000001,64729660,13479936,0.10453
large-elim-param,match,1,0.009648602000000001,33416173,13611008,0.046947
large-elim-prop-bool,match,1,0.022563412,90190132,13598720,0.043599
level-imax-leq,match,1,0.009943099,31584226,13488128,0.094488
level-imax-normalization,match,1,0.009391801,31829030,13541376,0.100938
level-index-out-of-order,match,0,0.007130434000000001,20110570,12816384,0.039153
mathlib,match,0,15576.516371738,129625380995922,7610122240,4247.795138804
